PSC	0	23092934D	22916669	2727046	5104341	5507690	2329211	0	11.2	19140	0	0	377900
PSC	0	23092935D	22736325	2857270	5165465	5639998	2388652	0	11.6	25031	0	0	367026
PSC	0	23092936D	22783577	2797485	5232575	5644061	2392198	0	15.9	9174	0	0	312125
PSC	0	23092937D	23006377	2798115	4949130	5447573	2305174	0	10.6	8220	0	0	372400
PSC	0	23092938D	22639252	2635312	5529915	5741607	2429920	0	13.1	19081	0	0	321399
PSC	0	23092939D	22963813	2741350	5000446	5445871	2301412	0	9.9	14457	0	0	420446
PSC	0	23092940D	24231165	1434621	5144990	4622225	1960448	0	11.4	5471	0	0	315336
PSC	0	23092941D	22881349	2721511	5164454	5547441	2344326	0	11.7	14583	0	0	358682
PSC	0	23092942D	22725259	2782308	5262098	5658285	2392188	0	11.0	18964	0	0	356392
PSC	0	23092943D	22766742	2859491	5169919	5646183	2389258	0	12.6	9063	0	0	329743
PSC	0	23092944D	21726168	1632769	7387838	6341154	2686013	0	9.8	5453	0	0	379257
PSC	0	23092945D	23295490	3283656	4181589	5254652	2215185	0	11.0	13581	0	0	365211
PSC	0	23092946D	22757861	2873105	5096847	5603451	2372504	0	12.1	12636	0	0	398082
PSC	0	23092947D	22686852	2835812	5367904	5761468	2448836	0	25.3	18639	0	0	235083
PSC	0	23092948D	22832468	2821536	5159589	5610192	2376829	0	10.9	9507	0	0	312247
PSC	0	23120404D	22715710	2665401	5427104	5688426	2410558	0	15.7	13082	0	0	317577
PSC	0	23120405D	22713373	2636487	5488714	5710595	2420894	0	15.3	8405	0	0	287257
PSC	0	23120406D	23180558	2911431	4708352	5356080	2269166	0	14.7	4605	0	0	325501
PSC	0	23120407D	22679449	2636400	5523711	5737059	2429699	0	15.9	2648	0	0	286218
PSC	0	23120408D	22582218	2707740	5576352	5821758	2469073	0	20.4	4986	0	0	259288
PSC	0	23120411D	22816240	2697858	5325967	5637951	2392196	0	16.9	3257	0	0	285716
PSC	0	23120412D	22740793	2596828	5547417	5722251	2428609	0	21.6	12179	0	0	240633
PSC	0	23120414D	22802728	2627594	5479474	5694782	2418614	0	18.9	1293	0	0	215941
PSC	0	23120415D	22769209	2651638	5413042	5665974	2405130	0	16.4	1148	0	0	291892
PSC	0	23120419D	22761181	2656614	5420698	5675242	2408357	0	17.6	1102	0	0	287344
PSC	0	23120422D	22925778	2497555	5391664	5547838	2347218	0	12.5	3451	0	0	310891
PSC	0	23120424D	22949736	2941643	4834920	5473332	2308768	0	11.0	5940	0	0	399771
PSC	0	23120425D	22935553	2626820	5258795	5545005	2346436	0	14.6	14198	0	0	304539
PSC	0	23120426D	22972844	2746981	4965542	5429081	2288981	0	9.9	4380	0	0	440802
PSC	0	23120427D	22785186	2627315	5351513	5612518	2372343	0	13.1	4607	0	0	361881
PSC	0	23120428D	22771425	2599801	5456456	5664115	2398453	0	14.2	7414	0	0	298233
PSC	0	23120429D	22597766	2573549	5648206	5779862	2448640	0	15.9	2646	0	0	306229
PSC	0	23120430D	22891246	2642711	5159803	5493434	2314649	0	10.4	11267	0	0	432395
PSC	0	23120431D	22812123	2675289	5208228	5549138	2340252	0	11.1	6050	0	0	430375
PSC	0	23120433D	22738768	2716024	5325021	5658897	2388437	0	12.2	3712	0	0	346154
PSC	0	23120434D	23086629	2793763	4904935	5414551	2289669	0	16.5	2051	0	0	340541
PSC	0	23120435D	22854952	2750657	5126420	5544667	2338234	0	11.0	6271	0	0	393938
PSC	0	23120436D	22907376	2636245	5160720	5488455	2314213	0	9.8	25186	0	0	421747
PSC	0	23120437D	22950451	2705542	5177128	5544709	2343864	0	13.2	1997	0	0	292849
PSC	0	23120438D	22950713	2533046	5326825	5527560	2338168	0	14.1	3187	0	0	315433
PSC	0	23120439D	22548240	2736916	5571818	5840247	2475327	0	18.5	3498	0	0	268671
PSC	0	23120440D	22855089	2623597	5358366	5616517	2371522	0	12.9	2456	0	0	288865
